ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,gender,index,fromHarbor,toHarbor,price,departureDate,departureTime,arrivalTime,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
DIONYSIOS_SOLOMOS,KERKYRAIKES_GRAMMES,9.0,7.0,Cabin-3_Beds_(Ext.)_[A3],412.0,Three_Children,F,0,***,***,60.0-70.0,2015-2023,0**,19*,1985-1989,***,(**,***,***,***,GB*,***,***,10*
ANO_CHORA,NOVA_FERRIES,4.0,1.0,Aviation_Seat_[ATS],167.0,Having_many_children,F,1,***,***,90.0-100.0,1980-1984,1**,19*,1985-1989,***,(**,***,***,***,GB*,***,***,09*
DODEKANISOS_PRIDE,AGIA_MARINI_NE,5.0,4.0,Cabin-3_Beds_(Ext.)_[A3],380.0,Retired_NAT,M,2,***,***,10.0-20.0,1985-1989,0**,19*,1995-1999,***,+**,***,***,***,GB*,***,***,10*
ARIADNI,ANEK_LINES,1.0,1.0,Cabin-4_Beds_[A4K],276.0,Three_Children,F,3,***,***,70.0-80.0,1975-1979,1**,19*,1975-1979,***,5**,***,***,***,GB*,***,***,01*
FLYINGCAT_5,FAST_FERRIES,9.0,8.0,Cabin-2_Beds_(Ext.)_[A2],182.0,Hoplites,M,4,***,***,90.0-100.0,2015-2023,1**,19*,1970-1974,***,3**,***,***,***,GB*,***,***,05*
SUPER_STAR,SEBECO_LINES,5.0,5.0,Cabin-2_Beds_(Ext.)_[AA2],415.0,College_Student,F,5,***,***,30.0-40.0,1995-1999,1**,19*,2000-2004,***,9**,***,***,***,GB*,***,***,08*
H/S/C_SANTORINI_PALACE,SARONIC_FERRIES,5.0,4.0,Cabin-3_Beds_[AB3],441.0,Three_Children,M,6,***,***,80.0-90.0,1995-1999,1**,19*,1970-1974,***,(**,***,***,***,GB*,***,***,06*
FLYINGCAT_6,SEA_SPEED_FERRIES,5.0,2.0,Cabin-2_Beds_(Ext.)_[A2],96.0,Having_many_children,M,7,***,***,90.0-100.0,1975-1979,2**,19*,1995-1999,***,8**,***,***,***,GB*,***,***,06*
HIGH_SPEED_JET,ZANTE_FERRIES_,7.0,3.0,Cabin-2_Beds_[A2K],386.0,Hoplites,M,8,***,***,20.0-30.0,2005-2009,1**,19*,1970-1974,***,6**,***,***,***,GB*,***,***,09*
F/B_PREVELIS,MIKRES_KYKLADES,6.0,5.0,Aviation_Seat_[ATS],131.0,Hoplites,F,9,***,***,90.0-100.0,1995-1999,2**,19*,1990-1994,***,3**,***,***,***,GB*,***,***,11*
ERATO,MIKRES_KYKLADES,10.0,2.0,Cabin-4_Beds_[A4K],348.0,Having_many_children,F,10,***,***,80.0-90.0,2015-2023,1**,19*,1985-1989,***,9**,***,***,***,GB*,***,***,11*
ANDROS_JET,ZANTE_FERRIES_,5.0,3.0,Cabin-2_Beds_(Ext.)_[A2],459.0,Three_Children,F,11,***,***,30.0-40.0,1985-1989,0**,19*,1995-1999,***,9**,***,***,***,GB*,***,***,02*
SEMPEKO,KATEROS,3.0,3.0,Aviation_Seat_[ATS],311.0,Three_Children,F,12,***,***,30.0-40.0,2000-2004,0**,19*,1980-1984,***,(**,***,***,***,GB*,***,***,07*
DIAGORAS,TRITON_FERRIES,6.0,4.0,Cabin-2_Beds_(Ext.)_[AA2],50.0,College_Student,M,13,***,***,80.0-90.0,1970-1974,1**,19*,1990-1994,***,+**,***,***,***,GB*,***,***,04*
H/S/C_SANTORINI_PALACE,GOUTOS_LINES,5.0,6.0,Cabin-3_Beds_(Ext.)_[A3],356.0,Hoplites,M,14,***,***,90.0-100.0,2015-2023,0**,19*,1975-1979,***,1**,***,***,***,GB*,***,***,12*
Η/S/F_KNOSSOS_PALACΕ,TRITON_FERRIES,6.0,1.0,Deck/Living_Room_[D]_,347.0,Three_Children,M,15,***,***,90.0-100.0,2010-2014,2**,19*,2000-2004,***,6**,***,***,***,GB*,***,***,03*
SUPERFAST_I,MINOAN_LINES,10.0,8.0,Cabin-3_Beds_[AB3],440.0,College_Student,M,16,***,***,70.0-80.0,1980-1984,0**,19*,1975-1979,***,0**,***,***,***,GB*,***,***,03*
RAPIDLINK_JET,ANEK_LINES,1.0,2.0,Cabin-2_Beds_(Ext.)_[A2],430.0,Having_many_children,F,17,***,***,60.0-70.0,2005-2009,2**,19*,1995-1999,***,(**,***,***,***,GB*,***,***,11*
AQUA_JEWEL,GOUTOS_LINES,2.0,1.0,Cabin-4_Beds_[A4K],71.0,No_discount,F,18,***,***,80.0-90.0,1975-1979,1**,19*,1985-1989,***,0**,***,***,***,GB*,***,***,10*
