Harbor Name
"Achladi, Greece (ACL)"
"Adamas Milos, Greece (ADL)"
"Agia Efimia, Greece (AEF)"
"Aegina, Greece (AEG)"
"Aigion, Greece (AEN)"
"Agria, Greece (AGA)"
"Agios Georgios, Greece (AGE)"
"Agios Nikolaos Fokidas, Greece (AGF)"
"Agistri Aiginas, Greece (AGG)"
"Agiokampos Larissas, Greece (AGK)"
"Agia Marina Fthiotidas, Greece (AGM)"
"Agathonisi, Greece (AGN)"
"Agios Efstratios, Greece (AGO)"
"Agio Theodoroi, Greece (AGT)"
"Aigiali Amorgou, Greece (AIG)"
"Akhillion, Greece (AKH)"
"Agios Kirykos, Greece (AKI)"
"Agia Kyriaki (Trikeri Magnisia), Greece (AKM)"
"Agios Konstantinos, Greece (AKO)"
"Aktio Vonitsas, Greece (AKT)"
"Alonnisos, Greece (ALO)"
"Amfilochia, Greece (AMF)"
"Amoliani, Greece (AMI)"
"Agia Marina Lerou, Greece (AML)"
"Agia Marina Aiginas, Greece (AMR)"
"Anafi, Greece (ANA)"
"Andros, Greece (AND)"
"Agios Nikolaos, Kriti, Greece (ANI)"
"Agnontas Skopelos, Greece (ANL)"
"Antiparos, Greece (ANP)"
"TURGUTREIS, Greece (TR901)"
"Halikarnassus (Bodrum), Greece (TRBXN)"
"KAMEIROS SKALA RHODES, Greece (KSK)"
"Nea Plagia Chalkidiki, Greece (NPY)"
"Polychnitos Lesvou, Greece (PLC)"
"IERAX (GERAKAS) LAKONIAS, Greece (739)"
"KERAMEIA LESVOS, Greece (751)"
"MARPISSA PAROS, Greece (773)"
"PISO LIVADI PAROS, Greece (857)"
"ΕΙΝΑΙ Ο ΠΑΛΙΟΣ ΚΩΔΙΚΟΣ ΓΙΑ ΤΟ ΠΕΥΚΙ ΕΥΒΟΙΑΣ, Greece (814)"
"Glyfada Saronikou, Greece (GFD)"
"Drepano Riou, Greece (DRE)"
"Edipsos, Greece (EDI)"
"Eleusina, Greece (EEU)"
"Eginion, Greece (EGI)"
"Elafonissos Lakonias, Greece (ELN)"
"Eleftheres, Greece (ELT)"
"Epidavros, Greece (EPI)"
"Eretria, Greece (ERE)"
"Ereikousses Diapontioi Islands, Greece (ERK)"
"Ermioni, Greece (ERM)"
"Eratini, Greece (ETK)"
"Eydilos, Greece (EYD)"
"Farmakonissi Dodekanissos, Greece (FAM)"
"Fiskardo, Greece (FIS)"
"Faneromeni Salaminas, Greece (FNR)"
"Andirrion, Greece (ANT)"
"Karpathos, Greece (AOK)"
"AGIOKAMPOS EUBOIAS (OREON), Greece (AOR)"
"Agia Pelagia, Greece (APE)"
"Amaliapolis, Greece (APL)"
"Asprovalta, Greece (APV)"
"Arkioi Dodekanissou, Greece (ARD)"
"Arkitsa, Greece (ARK)"
"Brindisi, Greece (ITBDS)"
"Astros, Greece (ARS)"
"Araxos, Greece (ARX)"
"Agios Stefanos Corfu, Greece (ASF)"
"Aspropirgos, Greece (ASS)"
"Astakos, Greece (AST)"
"Atalandi, Greece (ATA)"
"Antikyra, Greece (ATK)"
"Methana, Greece (MEA)"
"Altsi, Greece (ATS)"
"Alexandroupolis, Greece (AXD)"
"Kerkira (Corfu), Greece (CFU)"
"Chania, Greece (CHQ)"
"Chalkida, Greece (CLK)"
"Khora Sfakion, Greece (CSF)"
"Dafni, Greece (DAF)"
"Diafanion, Greece (DIA)"
"Diakofti Kythiron, Greece (DIK)"
"Dombraina Boiotias, Greece (DMB)"
"Donousa Kykladon, Greece (DON)"
"Delos, Greece (DOS)"
"Drapetzona, Greece (DPA)"
"TUROS ARKADIAS, Greece (840)"
"KHOREUTO BOLOU, Greece (847)"
"PSATHOPURGOS AKHAIAS, Greece (848)"
"PEUKOKHORI KHALKIDIKES, Greece (851)"
"PORTO KARRA KHALKIDIKES, Greece (854)"
"NEA PERAMOS, Greece (902)"
"KHRUSOMELIA (PHOURNOI), Greece (905)"
"MAKRONISOS, Greece (856)"
"Agia Galini Rethimnou, Greece (PIL)"
"Plakias Rethimnou, Greece (ALG)"
"PLAKIAS RETHIMNOU (OLD LOCODE), Greece (855)"
